experiment,approach,fold,train_size,test_size,accuracy,f1,balanced_accuracy,roc_auc,reduction_seconds,training_seconds,prediction_seconds
approach_d_mobilenet_resnet50_pca100_each_rbf_svm,D,1,307,35,0.8857142857142857,0.8947368421052632,0.8839869281045751,0.9183006535947712,2.0858585530077107,0.005799745034892112,0.002475959016010165
approach_d_mobilenet_resnet50_pca100_each_rbf_svm,D,2,307,35,0.9142857142857143,0.9230769230769231,0.9117647058823529,0.9738562091503268,1.891417070000898,0.01153240300482139,0.0025359540013596416
approach_d_mobilenet_resnet50_pca100_each_rbf_svm,D,3,308,34,0.8823529411764706,0.9,0.875,0.9826388888888888,2.0305133090005256,0.010071938973851502,0.0025031620170921087
approach_d_mobilenet_resnet50_pca100_each_rbf_svm,D,4,308,34,0.9705882352941176,0.972972972972973,0.96875,1.0,1.8494027149863541,0.00710576499113813,0.0016051199636422098
approach_d_mobilenet_resnet50_pca100_each_rbf_svm,D,5,308,34,0.8823529411764706,0.8947368421052632,0.8784722222222222,0.9722222222222222,2.079369961982593,0.007003139005973935,0.002755732974037528
approach_d_mobilenet_resnet50_pca100_each_rbf_svm,D,6,308,34,0.8823529411764706,0.8888888888888888,0.8823529411764706,0.9619377162629758,1.8817834419896826,0.005600475997198373,0.0024890649947337806
approach_d_mobilenet_resnet50_pca100_each_rbf_svm,D,7,308,34,0.8235294117647058,0.85,0.8235294117647058,0.9377162629757785,1.828109334979672,0.0052782720304094255,0.002511447004508227
approach_d_mobilenet_resnet50_pca100_each_rbf_svm,D,8,308,34,0.9411764705882353,0.9444444444444444,0.9411764705882353,0.9965397923875432,2.112454917980358,0.005180414009373635,0.002319441002327949
approach_d_mobilenet_resnet50_pca100_each_rbf_svm,D,9,308,34,0.8823529411764706,0.8947368421052632,0.8823529411764706,0.986159169550173,2.069624782016035,0.012781773984897882,0.002486259036231786
approach_d_mobilenet_resnet50_pca100_each_rbf_svm,D,10,308,34,0.8235294117647058,0.85,0.8235294117647058,0.9826989619377162,1.9803248859825544,0.005726535979192704,0.0025536679895594716
