experiment,approach,classifier,fold,train_size,test_size,prepared_features,shared_preprocessing_size,accuracy,f1,f1_clear,f1_obstructed,macro_f1,balanced_accuracy,mcc,tn_obstructed,fp_obstructed_as_clear,fn_clear_as_obstructed,tp_clear,obstructed_recall,clear_recall,obstructed_precision,clear_precision,roc_auc,reduction_seconds,training_seconds,prediction_seconds
a_xception_decision_tree,A,decision_tree,1,307,35,204800,8,0.6571428571428571,0.6666666666666666,0.6666666666666666,0.6470588235294118,0.6568627450980392,0.6568627450980392,0.3137254901960784,11,6,6,12,0.6470588235294118,0.6666666666666666,0.6470588235294118,0.6666666666666666,0.6568627450980391,0.0511800070526078,5.665752418979537,0.0025769170024432
a_xception_rbf_svm,A,rbf_svm,1,307,35,204800,8,0.8857142857142857,0.8823529411764706,0.8823529411764706,0.8888888888888888,0.8856209150326797,0.8872549019607843,0.7770533569225758,16,1,3,15,0.9411764705882352,0.8333333333333334,0.8421052631578947,0.9375,0.96078431372549,0.0511800070526078,4.113249765010551,1.7651950999861583
a_xception_linear_svm,A,linear_svm,1,307,35,204800,8,0.9428571428571428,0.9411764705882352,0.9411764705882352,0.9444444444444444,0.94281045751634,0.9444444444444444,0.8918080720799183,17,0,2,16,1.0,0.8888888888888888,0.8947368421052632,1.0,0.9542483660130718,0.0511800070526078,4.271854609018192,0.6594446660019457
a_xception_mlp,A,mlp,1,307,35,204800,8,0.9428571428571428,0.9444444444444444,0.9444444444444444,0.9411764705882352,0.94281045751634,0.94281045751634,0.8856209150326797,16,1,1,17,0.9411764705882352,0.9444444444444444,0.9411764705882352,0.9444444444444444,0.9738562091503268,0.0511800070526078,12.177502712002024,0.0168444970040582
a_xception_logistic,A,logistic,1,307,35,204800,8,0.9428571428571428,0.9411764705882352,0.9411764705882352,0.9444444444444444,0.94281045751634,0.9444444444444444,0.8918080720799183,17,0,2,16,1.0,0.8888888888888888,0.8947368421052632,1.0,0.9673202614379084,0.0511800070526078,1.181328783975914,0.0161062689730897
a_xception_random_forest,A,random_forest,1,307,35,204800,8,0.8,0.7878787878787878,0.7878787878787878,0.8108108108108109,0.7993447993447993,0.8022875816993464,0.6105909848356158,15,2,5,13,0.8823529411764706,0.7222222222222222,0.75,0.8666666666666667,0.9019607843137256,0.0511800070526078,1.2423639410408214,0.0116498160059563
a_xception_adaboost,A,adaboost,1,307,35,204800,8,0.8285714285714286,0.8421052631578947,0.8421052631578947,0.8125,0.8273026315789473,0.826797385620915,0.6600983619844495,13,4,2,16,0.7647058823529411,0.8888888888888888,0.8666666666666667,0.8,0.892156862745098,0.0511800070526078,66.95090269402135,0.1098157349624671
a_xception_gaussian_nb,A,gaussian_nb,1,307,35,204800,8,0.6571428571428571,0.6842105263157895,0.6842105263157895,0.625,0.6546052631578947,0.6552287581699346,0.3135467219426135,10,7,5,13,0.5882352941176471,0.7222222222222222,0.6666666666666666,0.65,0.6552287581699348,0.0511800070526078,0.1509250259841792,0.041884831036441
a_xception_decision_tree,A,decision_tree,2,307,35,204800,8,0.7714285714285715,0.7894736842105263,0.7894736842105263,0.75,0.7697368421052632,0.7696078431372549,0.5445811486371709,12,5,3,15,0.7058823529411765,0.8333333333333334,0.8,0.75,0.7696078431372549,0.0554245730163529,4.819962577021215,0.0024806929868645
a_xception_rbf_svm,A,rbf_svm,2,307,35,204800,8,0.8857142857142857,0.8947368421052632,0.8947368421052632,0.875,0.8848684210526316,0.8839869281045751,0.7756155753317282,14,3,1,17,0.8235294117647058,0.9444444444444444,0.9333333333333332,0.85,0.9183006535947712,0.0554245730163529,4.144758215988986,1.896686506981496
