experiment,folds,accuracy_q1,accuracy_median,accuracy_q3,accuracy_mean,accuracy_std,f1_q1,f1_median,f1_q3,f1_mean,f1_std,f1_clear_q1,f1_clear_median,f1_clear_q3,f1_clear_mean,f1_clear_std,f1_obstructed_q1,f1_obstructed_median,f1_obstructed_q3,f1_obstructed_mean,f1_obstructed_std,macro_f1_q1,macro_f1_median,macro_f1_q3,macro_f1_mean,macro_f1_std,balanced_accuracy_q1,balanced_accuracy_median,balanced_accuracy_q3,balanced_accuracy_mean,balanced_accuracy_std,mcc_q1,mcc_median,mcc_q3,mcc_mean,mcc_std,obstructed_recall_q1,obstructed_recall_median,obstructed_recall_q3,obstructed_recall_mean,obstructed_recall_std,clear_recall_q1,clear_recall_median,clear_recall_q3,clear_recall_mean,clear_recall_std,obstructed_precision_q1,obstructed_precision_median,obstructed_precision_q3,obstructed_precision_mean,obstructed_precision_std,clear_precision_q1,clear_precision_median,clear_precision_q3,clear_precision_mean,clear_precision_std,roc_auc_q1,roc_auc_median,roc_auc_q3,roc_auc_mean,roc_auc_std
a_xception_decision_tree,10,0.6495798319327731,0.6911764705882353,0.7623949579831933,0.7046218487394957,0.06554292648966956,0.6519607843137255,0.6858552631578947,0.7766233766233765,0.7067678338652322,0.07113155795083219,0.6519607843137255,0.6858552631578947,0.7766233766233765,0.7067678338652322,0.07113155795083219,0.6470588235294118,0.7124624624624625,0.7443181818181819,0.6999080276215002,0.0666309142439624,0.6495098039215687,0.6893965538118765,0.7610688653451811,0.703337930743366,0.06575867128779388,0.6495098039215687,0.6979166666666667,0.761029411764706,0.7052900326797384,0.06556563079081364,0.2990196078431372,0.4038259239358178,0.5262869916756361,0.41428139076384857,0.13258708579902712,0.6470588235294118,0.7058823529411765,0.7858455882352942,0.7069852941176471,0.08660410110797133,0.6200980392156863,0.6944444444444444,0.7647058823529411,0.7035947712418301,0.10798114010750556,0.6439075630252101,0.6485294117647059,0.7708333333333334,0.7002054154995332,0.0876027671532665,0.6541666666666667,0.7361111111111112,0.764423076923077,0.7178392767363355,0.06595149453005722,0.6495098039215685,0.6979166666666667,0.7610294117647058,0.7052900326797384,0.06556563079081364
a_xception_rbf_svm,10,0.8308823529411764,0.8857142857142857,0.9117647058823528,0.8771428571428572,0.04352800577420673,0.8554487179487179,0.8885448916408669,0.9142857142857144,0.8843715482144276,0.040901272034103084,0.8554487179487179,0.8885448916408669,0.9142857142857144,0.8843715482144276,0.040901272034103084,0.8290229885057472,0.8819444444444444,0.9090909090909092,0.8671128775439121,0.05168419048733934,0.829610134836428,0.8852446680426557,0.9116883116883115,0.8757422128791698,0.04477397763068729,0.8308823529411764,0.8856209150326797,0.9117647058823528,0.8761437908496733,0.04416576207734988,0.6839499509207612,0.7763344661271521,0.8249579113843054,0.763088207671753,0.08193496215632323,0.7352941176470589,0.8786764705882353,0.8823529411764706,0.8323529411764705,0.09733509403378188,0.9019607843137254,0.9411764705882352,0.9444444444444444,0.9199346405228758,0.07298068469804816,0.8909313725490196,0.9282051282051282,0.9375,0.9162008811621813,0.06496882456174058,0.7920454545454545,0.8777777777777778,0.8972222222222223,0.8580480222391987,0.06735237440381964,0.9265727124183006,0.9549452133794695,0.9720299884659747,0.9484260861207228,0.03122413584175102
a_xception_linear_svm,10,0.8529411764705882,0.8970588235294117,0.942436974789916,0.8915126050420168,0.06238699581688226,0.8506493506493507,0.9064856711915534,0.9458204334365325,0.8986679646223171,0.055816498045097494,0.8506493506493507,0.9064856711915534,0.9458204334365325,0.8986679646223171,0.055816498045097494,0.8328108672936259,0.8952380952380952,0.9402573529411764,0.8802894542351944,0.07827503983522399,0.850471367712747,0.8965823650034176,0.9421197755417955,0.8894787094287558,0.06531794881873007,0.8529411764705882,0.8952205882352942,0.9411764705882352,0.8900122549019608,0.06462195442592224,0.7071067811865476,0.8104509435262335,0.8902025833754907,0.7931732245828799,0.1165603852979024,0.8235294117647058,0.8786764705882353,0.926470588235294,0.8496323529411764,0.13369025271029447,0.8839869281045751,0.9428104575163399,1.0,0.9303921568627451,0.0719292519615478,0.8799342105263158,0.9411764705882352,1.0,0.9308952528379774,0.07054607093673959,0.8259803921568627,0.8875,0.9308823529411764,0.8765766488413547,0.0917269561446277,0.9368031526336025,0.9615532487504805,0.9826749327181853,0.9590602172241447,0.029411110989764178
a_xception_mlp,10,0.8529411764705882,0.8970588235294117,0.9411764705882352,0.8947899159663866,0.053507706376010475,0.8484848484848485,0.9068278805120911,0.9444444444444444,0.8982214412554971,0.05365861107682526,0.8484848484848485,0.9068278805120911,0.9444444444444444,0.8982214412554971,0.05365861107682526,0.8571428571428571,0.8849462365591397,0.9364583333333333,0.8900949896087468,0.0553506419912653,0.8528138528138528,0.8958870585356156,0.9408168859649122,0.8941582154321219,0.053831353487363884,0.8529411764705882,0.8960375816993464,0.9401041666666666,0.894342320261438,0.052866629542233354,0.7071067811865476,0.8052709060548888,0.8847017973856208,0.7950590670707919,0.10371871888926847,0.875,0.8823529411764706,0.9237132352941176,0.8746323529411765,0.08487702986085674,0.8529411764705882,0.9428104575163399,0.9444444444444444,0.9140522875816994,0.07744247675847882,0.8557692307692308,0.9354166666666666,0.9436274509803921,0.9135671522320129,0.07148037417975933,0.875,0.8848684210526316,0.9333333333333333,0.8880054302422724,0.06804480297398015,0.9461805555555556,0.9636678200692042,0.9830473856209151,0.948382833525567,0.06006908275386617
a_xception_logistic,10,0.8529411764705882,0.8823529411764706,0.9344537815126049,0.888655462184874,0.05365480229796451,0.8517857142857143,0.8904428904428905,0.9356120826709061,0.8948739201835177,0.048818976579899274,0.8517857142857143,0.8904428904428905,0.9356120826709061,0.8948739201835177,0.048818976579899274,0.8328108672936259,0.8831168831168832,0.9285714285714285,0.8802279569089915,0.06215862697770693,0.850471367712747,0.8822510822510822,0.9337643863959653,0.8875509385462544,0.05466706519097931,0.8529411764705882,0.8823529411764706,0.9314746732026145,0.887765522875817,0.05474256307931752,0.7071067811865476,0.781753428630151,0.8729371394187613,0.7840890367074229,0.10439017157367295,0.7794117647058822,0.8786764705882353,0.926470588235294,0.85625,0.1109518785254561,0.8823529411764706,0.9166666666666666,0.9444444444444444,0.919281045751634,0.05687589059981448,0.8784722222222222,0.9057017543859649,0.9402573529411764,0.9153968868249054,0.05511664544460438,0.8004385964912281,0.8848684210526316,0.928125,0.8775498405103669,0.08568421309360981,0.955642060745867,0.964628988850442,0.982638888888889,0.9599420895809303,0.0369502479532095
a_xception_random_forest,10,0.8308823529411764,0.8550420168067226,0.9044117647058822,0.8657142857142857,0.04532590276275817,0.8395585738539898,0.8528138528138528,0.9024064171122995,0.8666619985205826,0.047612035459084795,0.8395585738539898,0.8528138528138528,0.9024064171122995,0.8666619985205826,0.047612035459084795,0.8236607142857143,0.8610038610038611,0.8930020283975659,0.8633151769561506,0.045940525662781215,0.8301343177855276,0.854978354978355,0.902948977999688,0.8649885877383664,0.04553243099740703,0.8308823529411764,0.8553921568627452,0.9002757352941176,0.8659313725490196,0.04490700691862945,0.6760894097483989,0.71641172005522,0.8170686908854454,0.7386736361380344,0.08912874273482754,0.8299632352941176,0.8823529411764706,0.9237132352941176,0.8691176470588236,0.08721151708366177,0.8259803921568627,0.857843137254902,0.926470588235294,0.8627450980392156,0.08502316471062248,0.8333333333333334,0.8543859649122807,0.91289592760181,0.8668368460744622,0.07234490370974218,0.8595238095238095,0.8786764705882353,0.9170168067226891,0.8787909725293626,0.06974194589253131,0.9025990604575165,0.930843906189927,0.9641003460207612,0.9311610918877357,0.04031172356511534
a_xception_adaboost,10,0.7955882352941176,0.8260504201680672,0.9338235294117646,0.854033613445378,0.07898866633418931,0.8108108108108109,0.8377192982456141,0.9328547297297297,0.8625076121012653,0.07396243799153132,0.8108108108108109,0.8377192982456141,0.9328547297297297,0.8625076121012653,0.07396243799153132,0.7776148582600195,0.8125,0.9289314516129032,0.8438023738332088,0.08575961750222336,0.7942128345354151,0.825109649122807,0.9334972573379832,0.8531549929672371,0.07952159164742889,0.7935049019607844,0.8251633986928104,0.9338235294117646,0.8529003267973856,0.07958204128051724,0.5897974099476636,0.6558410637597255,0.8755574941124977,0.711184195147223,0.16080530420110392,0.7647058823529411,0.7647058823529411,0.8676470588235294,0.813970588235294,0.09685560027630173,0.8333333333333334,0.8823529411764706,0.9722222222222222,0.8918300653594772,0.08280945158299735,0.8031250000000001,0.8666666666666667,0.9736842105263158,0.8790990343505823,0.09243820287819793,0.7894736842105263,0.7947368421052632,0.8835526315789474,0.8375232198142415,0.08379252501541334,0.8940311418685121,0.9184027777777778,0.991340470011534,0.9347943098808151,0.05235069632037071
a_xception_gaussian_nb,10,0.6470588235294118,0.6571428571428571,0.6764705882352942,0.6608403361344538,0.031063907975468034,0.6666666666666666,0.6835686777920411,0.6842105263157895,0.6838136596159703,0.025579755844647754,0.6666666666666666,0.6835686777920411,0.6842105263157895,0.6838136596159703,0.025579755844647754,0.5944444444444444,0.6125,0.6760504201680673,0.6273871486908289,0.06336546165485311,0.6421052631578947,0.6557340041279669,0.6726803458510776,0.6556004041533996,0.033465124155620994,0.6435355392156863,0.6560457516339869,0.6764705882352942,0.659048202614379,0.03282593846035756,0.29222421935778264,0.313636106069346,0.37886209861387465,0.3261612306988381,0.06678317243626657,0.5294117647058824,0.5753676470588236,0.6773897058823529,0.5981617647058823,0.11816992164906083,0.6764705882352942,0.7222222222222222,0.7540849673202614,0.7199346405228759,0.07988619855133128,0.6439075630252101,0.6666666666666666,0.6822916666666666,0.6748944437915027,0.047875802973752,0.6205357142857143,0.65,0.6822916666666666,0.659836292934119,0.053683875026715906,0.6435355392156863,0.6560457516339869,0.6764705882352942,0.6590482026143791,0.03282593846035757
a_vgg16_decision_tree,10,0.726890756302521,0.8235294117647058,0.8455882352941176,0.7787394957983194,0.11184860270170331,0.7390350877192983,0.8284313725490196,0.84688995215311,0.7876813486720607,0.10608783387219749,0.7390350877192983,0.8284313725490196,0.84688995215311,0.7876813486720607,0.10608783387219749,0.725,0.80625,0.8487394957983193,0.7678429250488074,0.11949522362815299,0.725890092879257,0.8219846491228071,0.845492742551566,0.777762136860434,0.11221781702467098,0.7268688725490196,0.8235294117647058,0.8463031045751633,0.7785130718954247,0.11235278321425629,0.45664726088924207,0.6521807716563897,0.6967676573738313,0.5608940525931685,0.2262065149773969,0.6920955882352942,0.7647058823529411,0.8621323529411764,0.7544117647058823,0.12654988773953796,0.7361111111111112,0.8284313725490196,0.8823529411764706,0.8026143790849674,0.12431862029099584,0.7100694444444444,0.8095238095238095,0.8784313725490196,0.787396578739458,0.13351494630537225,0.75,0.7756892230576441,0.8667763157894737,0.777437466214556,0.1065773902929554,0.7268688725490196,0.8235294117647058,0.8463031045751633,0.7785130718954247,0.11235278321425629
a_vgg16_rbf_svm,10,0.8539915966386554,0.8840336134453781,0.9117647058823528,0.8566386554621849,0.08937391699819443,0.859073359073359,0.8819444444444444,0.912987012987013,0.8629093054093054,0.080751330549913,0.859073359073359,0.8819444444444444,0.912987012987013,0.8629093054093054,0.080751330549913,0.8433179723502304,0.8856209150326797,0.9032258064516128,0.8490067762197743,0.09998684692316213,0.8531261676422968,0.8837826797385621,0.911072362685266,0.8559580408145399,0.0901749399852973,0.8524816176470589,0.8839869281045751,0.9097222222222222,0.8560661764705882,0.08910755126410318,0.7077246278457165,0.7706476855760898,0.8237460196403346,0.7150089740737497,0.17785139486201768,0.828125,0.8786764705882353,0.8823529411764706,0.8386029411764706,0.12072726820863447,0.8455882352941176,0.8856209150326797,0.9281045751633986,0.8735294117647058,0.07263516577042106,0.8482456140350877,0.8745098039215686,0.9222222222222222,0.862703756941373,0.08582551189921461,0.8521671826625387,0.8888888888888888,0.8947368421052632,0.855201668386653,0.09923600204738978,0.9204152249134948,0.9375,0.9583813917723952,0.9257124663590925,0.06569393511291216
