sample_index,filename,true_label,approaches_with_error,models_with_error
4,clear.004.jpg,1,4,4
51,clear.051.jpg,1,4,4
175,nonclear.000.jpg,0,4,4
238,nonclear.063.jpg,0,4,4
263,nonclear.088.jpg,0,4,4
332,nonclear.157.jpg,0,4,4
69,clear.069.jpg,1,3,3
176,nonclear.001.jpg,0,3,3
214,nonclear.039.jpg,0,3,3
268,nonclear.093.jpg,0,3,3
294,nonclear.119.jpg,0,3,3
313,nonclear.138.jpg,0,3,3
335,nonclear.160.jpg,0,3,3
336,nonclear.161.jpg,0,3,3
0,clear.000.jpg,1,2,2
97,clear.097.jpg,1,2,2
187,nonclear.012.jpg,0,2,2
189,nonclear.014.jpg,0,2,2
215,nonclear.040.jpg,0,2,2
266,nonclear.091.jpg,0,2,2
316,nonclear.141.jpg,0,2,2
319,nonclear.144.jpg,0,2,2
341,nonclear.166.jpg,0,2,2
5,clear.005.jpg,1,1,1
9,clear.009.jpg,1,1,1
33,clear.033.jpg,1,1,1
60,clear.060.jpg,1,1,1
63,clear.063.jpg,1,1,1
75,clear.075.jpg,1,1,1
111,clear.111.jpg,1,1,1
138,clear.138.jpg,1,1,1
145,clear.145.jpg,1,1,1
158,clear.158.jpg,1,1,1
210,nonclear.035.jpg,0,1,1
231,nonclear.056.jpg,0,1,1
286,nonclear.111.jpg,0,1,1
297,nonclear.122.jpg,0,1,1
300,nonclear.125.jpg,0,1,1
306,nonclear.131.jpg,0,1,1
329,nonclear.154.jpg,0,1,1
