experiment,approach,classifier,fold,train_size,test_size,prepared_features,shared_preprocessing_size,accuracy,f1,f1_clear,f1_obstructed,macro_f1,balanced_accuracy,mcc,tn_obstructed,fp_obstructed_as_clear,fn_clear_as_obstructed,tp_clear,obstructed_recall,clear_recall,obstructed_precision,clear_precision,roc_auc,reduction_seconds,training_seconds,prediction_seconds
a_resnet101v2_logistic,A,logistic,1,307,35,100352,1,0.9142857142857144,0.9142857142857144,0.9142857142857144,0.9142857142857144,0.9142857142857144,0.915032679738562,0.8300653594771242,16,1,2,16,0.9411764705882352,0.8888888888888888,0.8888888888888888,0.9411764705882352,0.9542483660130718,0.0279307099990546,0.2310308969972538,0.0021145430000615
a_resnet101v2_logistic,A,logistic,2,307,35,100352,1,0.9428571428571428,0.9473684210526316,0.9473684210526316,0.9375,0.9424342105263156,0.9411764705882352,0.8911327886790068,15,2,0,18,0.8823529411764706,1.0,1.0,0.9,0.977124183006536,0.0284399119991576,0.2433825740008615,0.0023488599981646
a_resnet101v2_logistic,A,logistic,3,308,34,100352,1,0.9117647058823528,0.9230769230769232,0.9230769230769232,0.896551724137931,0.9098143236074272,0.90625,0.8345229603962802,13,3,0,18,0.8125,1.0,1.0,0.8571428571428571,0.9826388888888888,0.0263178540044464,0.2462284110006294,0.0022724640002707
a_resnet101v2_logistic,A,logistic,4,308,34,100352,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16,0,0,18,1.0,1.0,1.0,1.0,1.0,0.0265217830019537,0.2451794109947513,0.0023017799976514
a_resnet101v2_logistic,A,logistic,5,308,34,100352,1,0.9117647058823528,0.918918918918919,0.918918918918919,0.9032258064516128,0.911072362685266,0.9097222222222222,0.8237460196403346,14,2,1,17,0.875,0.9444444444444444,0.9333333333333332,0.8947368421052632,0.9826388888888888,0.026110337996215,0.239000797002518,0.0022534180025104
a_resnet101v2_logistic,A,logistic,6,308,34,100352,1,0.9411764705882352,0.9411764705882352,0.9411764705882352,0.9411764705882352,0.9411764705882352,0.9411764705882352,0.8823529411764706,16,1,1,16,0.9411764705882352,0.9411764705882352,0.9411764705882352,0.9411764705882352,0.9550173010380624,0.0265616590040735,0.2377943269966635,0.0022936749955988
a_resnet101v2_logistic,A,logistic,7,308,34,100352,1,0.9117647058823528,0.918918918918919,0.918918918918919,0.9032258064516128,0.911072362685266,0.9117647058823528,0.8366600265340755,14,3,0,17,0.8235294117647058,1.0,1.0,0.85,0.9584775086505192,0.0263933680034824,0.2451039770021452,0.0022500819977722
a_resnet101v2_logistic,A,logistic,8,308,34,100352,1,0.9705882352941176,0.9714285714285714,0.9714285714285714,0.9696969696969696,0.9705627705627706,0.9705882352941176,0.9428090415820634,16,1,0,17,0.9411764705882352,1.0,1.0,0.9444444444444444,0.9930795847750864,0.0262986379966605,0.2694457920006243,0.0022797980054747
a_resnet101v2_logistic,A,logistic,9,308,34,100352,1,0.9705882352941176,0.9696969696969696,0.9696969696969696,0.9714285714285714,0.9705627705627706,0.9705882352941176,0.9428090415820634,17,0,1,16,1.0,0.9411764705882352,0.9444444444444444,1.0,0.986159169550173,0.0266792430047644,0.2349067890027072,0.0022744379966752
a_resnet101v2_logistic,A,logistic,10,308,34,100352,1,0.9411764705882352,0.9411764705882352,0.9411764705882352,0.9411764705882352,0.9411764705882352,0.9411764705882352,0.8823529411764706,16,1,1,16,0.9411764705882352,0.9411764705882352,0.9411764705882352,0.9411764705882352,0.986159169550173,0.026396292996651,0.2193307220004499,0.0022763310043956
b_efficientnetb3_pca_300_linear_svm,B,linear_svm,1,307,35,300,1,0.9428571428571428,0.9444444444444444,0.9444444444444444,0.9411764705882352,0.94281045751634,0.94281045751634,0.8856209150326797,16,1,1,17,0.9411764705882352,0.9444444444444444,0.9411764705882352,0.9444444444444444,0.9869281045751632,2.358728803003032,0.0057513890060363,0.0008162869999068
b_efficientnetb3_pca_300_linear_svm,B,linear_svm,2,307,35,300,1,0.8857142857142857,0.8888888888888888,0.8888888888888888,0.8823529411764706,0.8856209150326797,0.8856209150326797,0.7712418300653595,15,2,2,16,0.8823529411764706,0.8888888888888888,0.8823529411764706,0.8888888888888888,0.9509803921568628,2.3721328570027254,0.005001909994462,0.0007409030004055
