rank_position,experiment,approach,model,extractors,reduction,components,classifier,average_friedman_rank,folds,accuracy_q1,accuracy_median,accuracy_q3,accuracy_mean,accuracy_std,f1_q1,f1_median,f1_q3,f1_mean,f1_std,f1_clear_q1,f1_clear_median,f1_clear_q3,f1_clear_mean,f1_clear_std,f1_obstructed_q1,f1_obstructed_median,f1_obstructed_q3,f1_obstructed_mean,f1_obstructed_std,macro_f1_q1,macro_f1_median,macro_f1_q3,macro_f1_mean,macro_f1_std,balanced_accuracy_q1,balanced_accuracy_median,balanced_accuracy_q3,balanced_accuracy_mean,balanced_accuracy_std,mcc_q1,mcc_median,mcc_q3,mcc_mean,mcc_std,obstructed_recall_q1,obstructed_recall_median,obstructed_recall_q3,obstructed_recall_mean,obstructed_recall_std,clear_recall_q1,clear_recall_median,clear_recall_q3,clear_recall_mean,clear_recall_std,obstructed_precision_q1,obstructed_precision_median,obstructed_precision_q3,obstructed_precision_mean,obstructed_precision_std,clear_precision_q1,clear_precision_median,clear_precision_q3,clear_precision_mean,clear_precision_std,roc_auc_q1,roc_auc_median,roc_auc_q3,roc_auc_mean,roc_auc_std,tn_obstructed,fp_obstructed_as_clear,fn_clear_as_obstructed,tp_clear,training_seconds_total,prediction_seconds_total,pooled_accuracy,pooled_obstructed_recall,pooled_clear_recall,accuracy_iqr
1,a_resnet101v2_logistic,A,ResNet101V2; full features; logistic regression,ResNet101V2,full,,logistic,237.75,10,0.9123949579831933,0.9411764705882352,0.963655462184874,0.9415966386554622,0.0307492351301036,0.91995841995842,0.9411764705882352,0.9641148325358851,0.9446047378555118,0.0281881176313256,0.91995841995842,0.9411764705882352,0.9641148325358851,0.9446047378555118,0.0281881176313256,0.9059907834101382,0.9393382352941176,0.962566844919786,0.9378267533628882,0.0344562735060398,0.911875700585378,0.9411764705882352,0.9635306305536568,0.9412157456092002,0.0311057247542013,0.9125816993464052,0.9411764705882352,0.963235294117647,0.9407475490196078,0.0315282051374323,0.835057226930729,0.8823529411764706,0.9298899783562992,0.8866451120243889,0.0592432658906188,0.8768382352941176,0.9411764705882352,0.9411764705882352,0.9158088235294116,0.0655940693937996,0.9411764705882352,0.9722222222222222,1.0,0.9656862745098038,0.0394945903927741,0.9411764705882352,0.9722222222222222,1.0,0.9649019607843136,0.0401085123507765,0.8960526315789474,0.9411764705882352,0.943627450980392,0.926985355545727,0.0517946320876939,0.9631391772395234,0.9826388888888888,0.986159169550173,0.97755430603614,0.016192691815752,153.0,14.0,6.0,169.0,13.736686796124559,0.194560039963107,0.9415204678362573,0.9161676646706587,0.9657142857142857,0.05126050420168071
2,a_mobilenet_resnet50_linear_svm,A,MobileNet+ResNet50; full features; linear SVM,MobileNet+ResNet50,full,,linear_svm,231.9,10,0.9123949579831933,0.9411764705882352,0.963655462184874,0.9327731092436976,0.0339941097059452,0.918918918918919,0.9444444444444444,0.9654135338345864,0.9367015046891208,0.0321601669632707,0.918918918918919,0.9444444444444444,0.9654135338345864,0.9367015046891208,0.0321601669632707,0.9046920821114368,0.9354166666666666,0.961100569259962,0.9280482002185038,0.036766126818065,0.911805500515178,0.9406615497076024,0.9634707050504014,0.9323748524538124,0.034269029081795,0.912173202614379,0.9392361111111112,0.962265114379085,0.932107843137255,0.0337331084066361,0.8312994980936824,0.8837826797385621,0.9286689621084716,0.8700691060399185,0.0643752356769592,0.8768382352941176,0.9099264705882352,0.9402573529411764,0.8926470588235293,0.0603309707235893,0.9444444444444444,1.0,1.0,0.9715686274509804,0.0408474944952765,0.9384191176470588,1.0,1.0,0.9698529411764708,0.0421967435620732,0.8854489164086687,0.9222222222222224,0.9444444444444444,0.9061759791635952,0.048060881822329,0.9774936322568244,0.9881776239907728,0.9930735774702036,0.981460255670896,0.0222461511755842,149.0,18.0,5.0,170.0,27.416393658029847,4.62843108602101,0.9327485380116959,0.8922155688622755,0.9714285714285714,0.05126050420168071
3,a_efficientnetb3_linear_svm,A,EfficientNetB3; full features; linear SVM,EfficientNetB3,full,,linear_svm,231.75,10,0.9191176470588234,0.9411764705882352,0.963655462184874,0.9387394957983194,0.0373200290032887,0.9171122994652406,0.94281045751634,0.9641148325358851,0.9409552389428548,0.0353605053779258,0.9171122994652406,0.94281045751634,0.9641148325358851,0.9409552389428548,0.0353605053779258,0.9190476190476192,0.9411764705882352,0.961100569259962,0.9359338574139332,0.0402807057249309,0.9188539530644791,0.9411764705882352,0.9634707050504014,0.9384445481783942,0.0375901466554427,0.9181985294117646,0.9419934640522876,0.9626736111111112,0.938500816993464,0.0371969429586922,0.8393066688323467,0.886516441248811,0.9290381924644584,0.8812500581720467,0.0714468280341902,0.8961397058823529,0.9411764705882352,0.9852941176470588,0.9283088235294118,0.072816189629272,0.9019607843137254,0.94281045751634,1.0,0.9486928104575164,0.0496820406463104,0.9019607843137254,0.94281045751634,1.0,0.9486928104575164,0.0496820406463104,0.909375,0.94281045751634,0.986842105263158,0.936890203449801,0.0596483718811323,0.9714532871972318,0.980938821607074,0.994127859477124,0.9792495674740485,0.0175502534075419,155.0,12.0,9.0,166.0,25.79806562612066,4.019800932088401,0.9385964912280702,0.9281437125748503,0.9485714285714286,0.044537815126050595
4,a_mobilenetv2_linear_svm,A,MobileNetV2; full features; linear SVM,MobileNetV2,full,,linear_svm,230.45,10,0.899579831932773,0.9411764705882352,0.963235294117647,0.9359663865546216,0.040181777485092,0.9019607843137254,0.9444444444444444,0.9654135338345864,0.937388569462873,0.0406355220292293,0.9019607843137254,0.9444444444444444,0.9654135338345864,0.937388569462873,0.0406355220292293,0.8999999999999999,0.9375,0.962566844919786,0.9341681521093284,0.0401825492881899,0.8993034055727553,0.9409722222222222,0.9632161955691368,0.9357783607861004,0.0402464055496476,0.8998161764705882,0.9409722222222222,0.963235294117647,0.9358660130718954,0.0397173072239286,0.803276128803043,0.8821486928104575,0.9289597730527832,0.8743432135626401,0.0784022681592119,0.9375,0.9411764705882352,0.9411764705882352,0.9279411764705884,0.0470881750784459,0.9411764705882352,0.9444444444444444,1.0,0.9437908496732026,0.0641648263649839,0.934375,0.9393382352941176,1.0,0.9433720330237356,0.0610203804415904,0.9375,0.94281045751634,0.9444444444444444,0.9336059511523908,0.0400935535459157,0.9658785082660516,0.9878472222222222,0.996536788735102,0.978267973856209,0.0241773886394845,155.0,12.0,10.0,165.0,10.559788788028527,1.6651178200845602,0.935672514619883,0.9281437125748503,0.9428571428571428,0.06365546218487395
5,a_mobilenet_linear_svm,A,MobileNet; full features; linear SVM,MobileNet,full,,linear_svm,226.4,10,0.9117647058823528,0.9277310924369748,0.963655462184874,0.9298319327731092,0.0371404699876348,0.9115479115479116,0.9331436699857754,0.9641148325358851,0.9336649884018304,0.0335255340006412,0.9115479115479116,0.9331436699857754,0.9641148325358851,0.9336649884018304,0.0335255340006412,0.9103896103896104,0.923809523809524,0.9601814516129032,0.9248175160953248,0.0430141054853707,0.9116883116883115,0.9271778955989484,0.9633766433028954,0.9292412522485778,0.0378736754815986,0.9117647058823528,0.9254493464052288,0.9618566176470588,0.9288194444444444,0.0368985161220025,0.8249579113843054,0.8584623113725802,0.9295991674119878,0.864830757652955,0.0678604224833665,0.8768382352941176,0.9099264705882352,0.9411764705882352,0.8981617647058823,0.0788905446878015,0.9419934640522876,0.9722222222222222,1.0,0.9594771241830063,0.0481821467321764,0.934375,0.9722222222222222,1.0,0.9593055555555556,0.0466286680246801,0.8960526315789474,0.91875,0.9427083333333331,0.9129013822434876,0.0592741915794319,0.98351895905421,0.9882737408688964,0.9930735774702036,0.9840554113802384,0.0165898346234929,150.0,17.0,7.0,168.0,8.075432454003021,1.2895138370222408,0.9298245614035088,0.8982035928143712,0.96,0.05189075630252116
6,a_resnet101_mobilenetv2_logistic,A,ResNet101+MobileNetV2; full features; logistic regression,ResNet101+MobileNetV2,full,,logistic,225.35,10,0.9210084033613446,0.9411764705882352,0.9411764705882352,0.9298319327731092,0.0283321944465939,0.9171122994652406,0.9444444444444444,0.9444444444444444,0.9328736279200676,0.0260879267924239,0.9171122994652406,0.9444444444444444,0.9444444444444444,0.9328736279200676,0.0260879267924239,0.9225225225225224,0.9375,0.9402573529411764,0.926020043152396,0.0318791390084686,0.9205914048019312,0.9409722222222222,0.941125408496732,0.9294468355362318,0.0286649333188877,0.921875,0.9409722222222222,0.9411764705882352,0.929656862745098,0.0280385721457703,0.851705169758741,0.8821486928104575,0.8869642043568766,0.8649081815870119,0.051733805816281,0.8768382352941176,0.9375,0.9411764705882352,0.9102941176470588,0.0747086806639718,0.9411764705882352,0.9444444444444444,0.9861111111111112,0.9490196078431372,0.0487939614088694,0.9375,0.9411764705882352,0.9861111111111112,0.9485130718954248,0.0450367032615096,0.8960526315789474,0.94281045751634,0.9444444444444444,0.9220875718708538,0.0617416317070616,0.9678489042675892,0.9883578431372548,0.9965277777777778,0.9760813148788928,0.0284972967502528,152.0,15.0,9.0,166.0,14.735727519029751,0.1564211288932706,0.9298245614035088,0.9101796407185628,0.9485714285714286,0.020168067226890574
7,a_efficientnetb0_mobilenet_linear_svm,A,EfficientNetB0+MobileNet; full features; linear SVM,EfficientNetB0+MobileNet,full,,linear_svm,224.0,10,0.9123949579831933,0.9411764705882352,0.942436974789916,0.9268907563025208,0.0373064658636087,0.9115479115479116,0.9409722222222222,0.9466374269005848,0.9300316495324236,0.0342478685870072,0.9115479115479116,0.9409722222222222,0.9466374269005848,0.9300316495324236,0.0342478685870072,0.9103896103896104,0.9354166666666666,0.943627450980392,0.92272089249965,0.0425758430580421,0.912267462267462,0.9406615497076024,0.9423508986928104,0.9263762710160368,0.037955805501479,0.912173202614379,0.9392361111111112,0.9424019607843136,0.9262254901960786,0.0369513086958164,0.8260965973582836,0.8837826797385621,0.8882454793452145,0.8586456373712543,0.0685759944104586,0.8823529411764706,0.9375,0.9411764705882352,0.9044117647058822,0.079326236924913,0.897875816993464,0.9444444444444444,1.0,0.9480392156862744,0.0514052737715642,0.9054276315789472,0.9393382352941176,1.0,0.9482155142758858,0.049129330306732,0.8960526315789474,0.9409722222222222,0.9444444444444444,0.9168018810394972,0.0608188364442347,0.9826989619377162,0.9895833333333334,0.9933679354094578,0.9850754517493272,0.0148828141693599,151.0,16.0,9.0,166.0,20.599902982939966,3.4859160748892464,0.9269005847953217,0.9041916167664671,0.9485714285714286,0.030042016806722693
8,a_resnet101_densenet121_logistic,A,ResNet101+DenseNet121; full features; logistic regression,ResNet101+DenseNet121,full,,logistic,221.35,10,0.8903361344537815,0.9411764705882352,0.963655462184874,0.926890756302521,0.0421454612945189,0.8983253588516746,0.9444444444444444,0.9654135338345864,0.9293288914341546,0.0421759480845153,0.8983253588516746,0.9444444444444444,0.9654135338345864,0.9293288914341546,0.0421759480845153,0.8859797297297297,0.9354166666666666,0.961100569259962,0.9236874121527824,0.0432524940671864,0.8899595618345618,0.9406615497076024,0.9634707050504014,0.9265081517934683,0.0423507922778089,0.8909313725490197,0.9393382352941176,0.962265114379085,0.9267361111111112,0.0419348032254984,0.8005031972346256,0.886516441248811,0.9289467994018956,0.8595177102229685,0.0815749338682061,0.8768382352941176,0.9099264705882352,0.9411764705882352,0.904779411764706,0.0745124241670339,0.9419934640522876,0.9722222222222222,1.0,0.9486928104575164,0.0684985128962946,0.9352941176470588,0.9705882352941176,1.0,0.9499019607843138,0.0637220545412055,0.8799342105263158,0.9222222222222224,0.9466374269005848,0.9157623224728488,0.0631579316103815,0.9619377162629756,0.9899918300653594,0.9930555555555556,0.973310745866974,0.0293577957031113,151.0,16.0,9.0,166.0,14.91657704609679,0.1522138529689978,0.9269005847953217,0.9041916167664671,0.9485714285714286,0.07331932773109251
9,a_mobilenet_resnet101_linear_svm,A,MobileNet+ResNet101; full features; linear SVM,MobileNet+ResNet101,full,,linear_svm,220.85,10,0.9123949579831933,0.9411764705882352,0.963655462184874,0.9268907563025208,0.0464834101612929,0.9154440154440155,0.94281045751634,0.9654135338345864,0.930702408512006,0.0417723225002692,0.9154440154440155,0.94281045751634,0.9654135338345864,0.930702408512006,0.0417723225002692,0.9059907834101382,0.9354166666666666,0.9619175627240144,0.9214528347996088,0.0553713747511699,0.911875700585378,0.9406615497076024,0.9634707050504014,0.9260776216558074,0.0478977377141317,0.9125816993464052,0.9392361111111112,0.9626736111111112,0.9265522875816992,0.0462187571546188,0.831714026241362,0.8846782059546934,0.9297679882622156,0.861754686271589,0.0820729666055666,0.890625,0.9393382352941176,0.9411764705882352,0.898529411764706,0.1000138158468421,0.9027777777777776,1.0,1.0,0.9545751633986927,0.0652222597374495,0.9054276315789472,1.0,1.0,0.9563230994152048,0.0607236846505131,0.9083333333333332,0.94281045751634,0.9444444444444444,0.9144341993090144,0.0724736442489185,0.9480968858131488,0.991625816993464,0.995665729527105,0.9754853902345252,0.0257943882833276,150.0,17.0,8.0,167.0,27.574484806857072,4.807774003886152,0.9269005847953217,0.8982035928143712,0.9542857142857143,0.05126050420168071
10,a_mobilenet_resnet101_logistic,A,MobileNet+ResNet101; full features; logistic regression,MobileNet+ResNet101,full,,logistic,217.45,10,0.9191176470588234,0.9411764705882352,0.9428571428571428,0.9268067226890756,0.0445183439635633,0.924483306836248,0.9444444444444444,0.9466374269005848,0.9310198688294664,0.0396553113172015,0.924483306836248,0.9444444444444444,0.9466374269005848,0.9310198688294664,0.0396553113172015,0.9107526881720428,0.9375,0.943627450980392,0.920922213460164,0.0536021929875669,0.9183919913121952,0.9409722222222222,0.94281045751634,0.9259710411448152,0.04598488311802,0.9181985294117646,0.9410743464052288,0.9440359477124184,0.9263888888888888,0.0442613744167936,0.8479811310116677,0.886516441248811,0.8909868832195984,0.8618816693328022,0.0777000785638736,0.8768382352941176,0.9375,0.9411764705882352,0.8926470588235293,0.09895102944575,0.9444444444444444,1.0,1.0,0.9601307189542484,0.0612506610572743,0.9384191176470588,1.0,1.0,0.9615518575851392,0.0563667961691126,0.8960526315789474,0.9388888888888888,0.9444444444444444,0.9097902364607168,0.0720563320486489,0.9612168396770472,0.991625816993464,0.9930555555555556,0.9746948289119568,0.0260481849199606,149.0,18.0,7.0,168.0,14.588968208117876,0.1682916611898685,0.9269005847953217,0.8922155688622755,0.96,0.023739495798319465
11,a_densenet121_logistic,A,DenseNet121; full features; logistic regression,DenseNet121,full,,logistic,216.95,10,0.8970588235294117,0.9411764705882352,0.963655462184874,0.929579831932773,0.0504198568306609,0.8970588235294117,0.94281045751634,0.9654135338345864,0.9337580028911298,0.0459257529875012,0.8970588235294117,0.94281045751634,0.9654135338345864,0.9337580028911298,0.0459257529875012,0.8950980392156862,0.9411764705882352,0.961100569259962,0.9242950475771256,0.0568168989928812,0.8968524251805985,0.9411764705882352,0.9634707050504014,0.9290265252341277,0.0511237540428497,0.8961397058823529,0.9419934640522876,0.9626736111111112,0.9293504901960784,0.0502715169944836,0.7941176470588235,0.886516441248811,0.9290381924644584,0.8649897041630933,0.094271959732253,0.8768382352941176,0.9393382352941176,0.9411764705882352,0.8988970588235293,0.0962653556308436,0.9411764705882352,0.9722222222222222,1.0,0.9598039215686274,0.0471829738919101,0.9317226890756304,0.9705882352941176,1.0,0.9582166199813258,0.0480167297761512,0.8867647058823529,0.94281045751634,0.9466374269005848,0.91325139944335,0.0764806847420828,0.954152249134948,0.9809027777777776,0.992196510957324,0.9746864186851212,0.021318116667046,150.0,17.0,7.0,168.0,12.974979844060726,0.130327453021891,0.9298245614035088,0.8982035928143712,0.96,0.06659663865546228
