experiment,approach,classifier,fold,train_size,test_size,prepared_features,shared_preprocessing_size,accuracy,f1,f1_clear,f1_obstructed,macro_f1,balanced_accuracy,mcc,tn_obstructed,fp_obstructed_as_clear,fn_clear_as_obstructed,tp_clear,obstructed_recall,clear_recall,obstructed_precision,clear_precision,roc_auc,reduction_seconds,training_seconds,prediction_seconds
a_resnet101v2_logistic,A,logistic,1,307.0,35.0,100352.0,8.0,0.9142857142857144,0.9142857142857144,0.9142857142857144,0.9142857142857144,0.9142857142857144,0.915032679738562,0.8300653594771242,16.0,1.0,2.0,16.0,0.9411764705882352,0.8888888888888888,0.8888888888888888,0.9411764705882352,0.9542483660130718,0.0254630930139683,1.3382648780243471,0.0170187120093032
a_resnet101v2_logistic,A,logistic,2,307.0,35.0,100352.0,8.0,0.9428571428571428,0.9473684210526316,0.9473684210526316,0.9375,0.9424342105263156,0.9411764705882352,0.8911327886790068,15.0,2.0,0.0,18.0,0.8823529411764706,1.0,1.0,0.9,0.977124183006536,0.0254001219873316,1.4356234169681557,0.0240371610270813
a_resnet101v2_logistic,A,logistic,3,308.0,34.0,100352.0,8.0,0.9117647058823528,0.9230769230769232,0.9230769230769232,0.896551724137931,0.9098143236074272,0.90625,0.8345229603962802,13.0,3.0,0.0,18.0,0.8125,1.0,1.0,0.8571428571428571,0.9826388888888888,0.0258412930415943,1.330172603018582,0.0120110959978774
a_resnet101v2_logistic,A,logistic,4,308.0,34.0,100352.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,0.0,0.0,18.0,1.0,1.0,1.0,1.0,1.0,0.0259387990226969,1.2129426560131833,0.0170061859535053
a_resnet101v2_logistic,A,logistic,5,308.0,34.0,100352.0,8.0,0.9117647058823528,0.918918918918919,0.918918918918919,0.9032258064516128,0.911072362685266,0.9097222222222222,0.8237460196403346,14.0,2.0,1.0,17.0,0.875,0.9444444444444444,0.9333333333333332,0.8947368421052632,0.9826388888888888,0.0255379930022172,1.5287378430366516,0.0180629909737035
a_resnet101v2_logistic,A,logistic,6,308.0,34.0,100352.0,8.0,0.9411764705882352,0.9411764705882352,0.9411764705882352,0.9411764705882352,0.9411764705882352,0.9411764705882352,0.8823529411764706,16.0,1.0,1.0,16.0,0.9411764705882352,0.9411764705882352,0.9411764705882352,0.9411764705882352,0.9550173010380624,0.0257993100094608,1.4476662329980172,0.0181362910079769
a_resnet101v2_logistic,A,logistic,7,308.0,34.0,100352.0,8.0,0.9117647058823528,0.918918918918919,0.918918918918919,0.9032258064516128,0.911072362685266,0.9117647058823528,0.8366600265340755,14.0,3.0,0.0,17.0,0.8235294117647058,1.0,1.0,0.85,0.9584775086505192,0.0261518319603055,1.201222405012231,0.0170581240090541
a_resnet101v2_logistic,A,logistic,8,308.0,34.0,100352.0,8.0,0.9705882352941176,0.9714285714285714,0.9714285714285714,0.9696969696969696,0.9705627705627706,0.9705882352941176,0.9428090415820634,16.0,1.0,0.0,17.0,0.9411764705882352,1.0,1.0,0.9444444444444444,0.9930795847750864,0.0255528090056031,1.5786502080154603,0.0240510340081527
a_resnet101v2_logistic,A,logistic,9,308.0,34.0,100352.0,8.0,0.9705882352941176,0.9696969696969696,0.9696969696969696,0.9714285714285714,0.9705627705627706,0.9705882352941176,0.9428090415820634,17.0,0.0,1.0,16.0,1.0,0.9411764705882352,0.9444444444444444,1.0,0.986159169550173,0.0259084170102141,1.3331587560242042,0.0300781719852238
a_resnet101v2_logistic,A,logistic,10,308.0,34.0,100352.0,8.0,0.9411764705882352,0.9411764705882352,0.9411764705882352,0.9411764705882352,0.9411764705882352,0.9411764705882352,0.8823529411764706,16.0,1.0,1.0,16.0,0.9411764705882352,0.9411764705882352,0.9411764705882352,0.9411764705882352,0.986159169550173,0.0259495350182987,1.330247797013726,0.0171002729912288
